# frame,type,x,y
93,Obstacle,716,500
150,PowerUp-Heal,716,300
156,PowerUp-SplitShot,716,500
163,Obstacle,716,550
238,Obstacle,716,500
304,Alien2,716,150
307,Alien2,716,300
352,Alien2,716,80
382,Alien2,716,400
570,Alien1,716,150
571,Alien1,716,350
572,Alien1,716,200
573,Alien1,716,300
574,Alien1,716,250
700,Mage,716,250
900,Alien1,716,191
940,Alien1,716,473
980,Alien1,716,227
1020,Alien1,716,146
1067,Alien2,716,550
1110,Alien2,716,500
1137,Alien2,716,350
1162,Alien2,716,500
1211,Alien2,716,450
1300,Obstacle,716,458
1360,Obstacle,716,206
1418,PowerUp-Heal,716,300
1438,Mage,716,500
1589,PowerUp-Heal,716,100
1630,Mage,716,300
1683,Alien2,716,500
1744,Alien2,716,400
1799,Alien1,716,50
1804,Alien1,716,300
1815,Alien1,716,100
2055,PowerUp-MultiShot,716,500
2101,Mage,716,300
2177,Alien1,716,500
2183,Alien1,716,300
2206,Alien1,716,350
2207,Alien1,716,450
2258,Alien2,716,300
2302,Alien2,716,560
2355,Alien2,716,500
2400,Alien2,716,300
2566,Alien2,716,450
2700,Mage,716,309
2820,Alien2,716,500
2880,Obstacle,716,361
3100,Alien1,716,320
3101,Alien1,716,200
3102,Alien1,716,440
3245,Alien2,716,550
3257,Alien2,716,200
3300,PowerUp-BigShot,716,400
3337,Mage,716,450
3439,Alien2,716,300
3500,Alien2,716,440
3599,Alien2,716,400
3610,Alien2,716,250
3701,Mage,716,350
3795,Mage,716,200
3906,Obstacle,716,400
3972,Mage,716,250
3991,Obstacle,716,350
4021,Mage,716,550
4078,Obstacle,716,500
4080,Obstacle,716,157
4106,Obstacle,716,400
4196,Obstacle,716,200
4204,Obstacle,716,400
4236,Obstacle,716,100
4267,PowerUp-Heal,716,150
4270,Alien2,716,500
4299,Alien2,716,400
4300,Mage,716,122
4320,Obstacle,716,200
4380,Mage,716,170
4394,Mage,716,50
4700,Alien1,716,200
4701,Alien1,716,260
4702,Alien1,716,380
4769,Alien2,716,450
4773,Alien1,716,350
4781,Alien1,716,300
4827,Alien2,716,500
4861,Alien1,716,250
4870,Alien1,716,350
4871,Alien1,716,200
4891,Alien2,716,500
4948,PowerUp-Heal,716,300
5101,Alien2,716,80
5120,Alien2,716,350
5159,Obstacle,716,200
5180,Obstacle,716,400
5185,Alien2,716,300
5188,Alien2,716,500
5241,Obstacle,716,300
5272,Alien2,716,400
5280,Obstacle,716,173
5327,Obstacle,716,350
5333,Alien2,716,450
5402,Alien2,716,300
5404,Obstacle,716,500
5432,Obstacle,716,250
5476,Alien2,716,150
5484,Alien2,716,450
5581,Alien2,716,550
5795,Alien1,716,250
5796,Alien1,716,100
5797,Alien1,716,50
5798,Alien1,716,150
5799,Alien1,716,200
5900,Mage,716,154
5980,Mage,716,294
6298,Alien1,716,250
6301,Alien1,716,380
6302,Alien1,716,320
6480,Obstacle,716,369
6700,Alien2,716,380
6747,Alien2,716,300
6820,Alien2,716,400
6850,Alien2,716,250
6939,Mage,716,550
7092,Alien1,716,250
7152,Alien1,716,250
7158,Alien1,716,150
7181,Alien1,716,550
7184,Alien1,716,500
7210,Mage,716,300
7237,Alien1,716,500
7300,PowerUp-Heal,716,396
7355,Alien1,716,50
7446,Alien1,716,100
7450,PowerUp-SplitShot,716,415
7473,Alien2,716,500
7525,Alien2,716,550
7557,Alien1,716,50
7560,Alien1,716,150
7578,Alien2,716,500
7600,PowerUp-BigShot,716,426
7638,Mage,716,200
7640,Alien2,716,550
7711,Mage,716,250
7712,Alien1,716,150
7900,Alien1,716,458
7935,Alien1,716,107
7951,Alien2,716,500
7970,Alien1,716,313
8041,Mage,716,200
8106,Alien2,716,500
8176,Alien2,716,300
8288,Alien2,716,200
8337,Alien2,716,450
8491,Obstacle,716,200
8546,Obstacle,716,350
8615,Obstacle,716,150
8660,Alien1,716,428
8695,Alien1,716,488
8730,Alien1,716,366
8760,Mage,716,280
8860,Obstacle,716,283
8906,PowerUp-BigShot,716,200
9040,Alien2,716,284
9075,Alien2,716,281
9092,PowerUp-Heal,716,500
9110,Alien2,716,133
9351,Mage,716,300
9420,Alien1,716,326
9455,Alien1,716,404
9481,Mage,716,500
9490,Alien1,716,285
9520,Mage,716,111
9564,Alien1,716,250
9654,Mage,716,500
9655,Alien1,716,400
9656,Mage,716,300
9746,Mage,716,50
9769,Alien1,716,300
9796,Mage,716,400
9800,Alien2,716,177
9835,Alien2,716,114
9870,Alien2,716,186
9973,PowerUp-Heal,716,300
10180,Alien1,716,305
10215,Alien1,716,163
10250,Alien1,716,136
10280,Mage,716,254
10358,Alien1,716,450
10380,Obstacle,716,387
10381,Alien1,716,300
10465,Alien1,716,450
10509,Alien2,716,350
10601,Alien2,716,450
10664,Alien2,716,350
10696,Alien1,716,500
10780,Alien1,716,450
10799,Alien1,716,350
10858,Alien1,716,450
10940,Alien1,716,370
10975,Alien1,716,157
11010,Alien1,716,354
11040,Mage,716,131
11320,Alien2,716,266
11355,Alien2,716,394
11457,Alien2,716,250
11550,Alien2,716,350
11628,Alien2,716,200
11686,Alien2,716,350
11723,PowerUp-Heal,716,250
11834,PowerUp-MultiShot,716,350
11909,Mage,716,300
11990,Mage,716,250
12014,Mage,716,400
12113,Obstacle,716,0
12120,Obstacle,716,50
12121,Obstacle,716,100
12122,Obstacle,716,200
12123,Obstacle,716,350
12124,Obstacle,716,300
12125,Obstacle,716,300
12126,Obstacle,716,250
12127,Obstacle,716,400
12128,Obstacle,716,450
12129,Obstacle,716,550
12130,Obstacle,716,450
12131,Obstacle,716,500
12132,Obstacle,716,150
12300,Mage,716,186
12312,Alien1,716,450
12313,Alien1,716,300
12362,Alien1,716,150
12404,Alien1,716,300
12413,Alien1,716,400
12442,Alien1,716,200
12450,Alien1,716,400
12488,Alien1,716,250
12489,Alien1,716,100
12537,Alien1,716,450
12602,Alien2,716,300
12660,Alien2,716,440
12671,PowerUp-SplitShot,716,300
12717,Alien2,716,400
12809,Mage,716,350
12903,Alien1,716,300
12972,Alien1,716,150
13008,Mage,716,250
13020,Alien1,716,320
13021,Alien1,716,380
13022,Alien1,716,560
13090,PowerUp-BigShot,716,300
13121,Alien1,716,200
