# frame,type,x,y
# Stage 2 — 5 minutes, Mother Adam at the end
150,PowerUp-Heal,716,300
350,Alien2,716,140
351,Alien2,716,500
352,Alien2,716,80
700,Mage,716,250
900,Alien1,716,191
940,Alien1,716,473
980,Alien1,716,227
1020,Alien1,716,146
1300,Obstacle,716,458
1360,Obstacle,716,206
1900,PowerUp-MultiShot,716,283
2050,PowerUp-SpeedUp,716,280
2300,Alien2,716,500
2301,Alien2,716,140
2302,Alien2,716,560
2700,Mage,716,309
2780,Mage,716,285
2880,Obstacle,716,361
3100,Alien1,716,320
3101,Alien1,716,200
3102,Alien1,716,440
3500,Alien2,716,440
3501,Alien2,716,320
3502,Alien2,716,380
3503,Alien2,716,260
3900,Alien2,716,380
3901,Alien2,716,440
3902,Alien2,716,140
4080,Obstacle,716,157
4300,Mage,716,122
4380,Mage,716,170
4700,Alien1,716,200
4701,Alien1,716,260
4702,Alien1,716,380
5100,Alien2,716,260
5101,Alien2,716,80
5102,Alien2,716,560
5103,Alien2,716,320
5280,Obstacle,716,173
5500,Alien2,716,320
5501,Alien2,716,560
5502,Alien2,716,80
5900,Mage,716,154
5980,Mage,716,294
6300,Alien1,716,560
6301,Alien1,716,380
6302,Alien1,716,320
6480,Obstacle,716,369
6700,Alien2,716,380
6701,Alien2,716,200
6702,Alien2,716,560
6703,Alien2,716,320
7300,PowerUp-Heal,716,396
7450,PowerUp-SplitShot,716,415
7600,PowerUp-BigShot,716,426
7900,Alien1,716,458
7935,Alien1,716,107
7970,Alien1,716,313
8000,Mage,716,540
8280,Alien2,716,525
8315,Alien2,716,479
8350,Alien2,716,527
8660,Alien1,716,428
8695,Alien1,716,488
8730,Alien1,716,366
8760,Mage,716,280
8860,Obstacle,716,283
9040,Alien2,716,284
9075,Alien2,716,281
9110,Alien2,716,133
9420,Alien1,716,326
9455,Alien1,716,404
9490,Alien1,716,285
9520,Mage,716,111
9800,Alien2,716,177
9835,Alien2,716,114
9870,Alien2,716,186
10180,Alien1,716,305
10215,Alien1,716,163
10250,Alien1,716,136
10280,Mage,716,254
10380,Obstacle,716,387
10560,Alien2,716,106
10595,Alien2,716,132
10630,Alien2,716,80
10940,Alien1,716,370
10975,Alien1,716,157
11010,Alien1,716,354
11040,Mage,716,131
11320,Alien2,716,266
11355,Alien2,716,394
11390,Alien2,716,93
11800,PowerUp-Heal,716,116
11950,PowerUp-MultiShot,716,527
12300,Mage,716,186
12660,Alien2,716,440
12661,Alien2,716,200
12662,Alien2,716,380
13020,Alien1,716,320
13021,Alien1,716,380
13022,Alien1,716,560
13380,Mage,716,266
13740,Alien2,716,500
13741,Alien2,716,140
13742,Alien2,716,80
14100,Alien1,716,500
14101,Alien1,716,560
14102,Alien1,716,260
14460,Mage,716,327
15100,PowerUp-Heal,716,239
15250,PowerUp-Heal,716,123
15400,PowerUp-BigShot,716,153
16200,Boss,716,250
